,y_value,label,calib_host,CID,IDSURVEY
3130,9.752,m101_2011fe_51,m101,2011fe,51
3131,9.808,m101_2011fe_56,m101,2011fe,56
3132,13.646,m1337_2006D_57,m1337,2006D,57
3133,13.648,m1337_2006D_5,m1337,2006D,5
3134,13.67,m1337_2006D_64,m1337,2006D,64
3135,13.602,n0691_2005W_5,n0691,2005W,5
3136,13.499,n1015_2009ig_51,n1015,2009ig,51
3137,13.124,n1015_2009ig_56,n1015,2009ig,56
3138,13.427,n1015_2009ig_66,n1015,2009ig,66
3139,15.214,n105a_2007A_5,n105a,2007A,5
3140,15.287,n105a_2007A_65,n105a,2007A,65
3141,13.22,n1309_2002fk_57,n1309,2002fk,57
3142,13.198,n1309_2002fk_63,n1309,2002fk,63
3143,11.885,n1365_2012fr_56,n1365,2012fr,56
3144,11.915,n1365_2012fr_5,n1365,2012fr,5
3145,12.254,n1448_2001el_50,n1448,2001el,50
3146,11.752,n1448_2021pit_56,n1448,2021pit,56
3147,12.148,n1559_2005df_50,n1559,2005df,50
3149,12.198,n2442_2015F_56,n2442,2015F,56
3150,12.271,n2442_2015F_5,n2442,2015F,5
3151,12.822,n2525_2018gv_51,n2525,2018gv,51
3152,12.667,n2525_2018gv_150,n2525,2018gv,150
3153,12.695,n2525_2018gv_18,n2525,2018gv,18
3154,13.443,n2608_2001bg_57,n2608,2001bg,57
3155,13.114,n3021_1995al_61,n3021,1995al,61
3157,13.821,n3147_1997bq_62,n3147,1997bq,62
3158,13.843,n3147_2021hpr_57,n3147,2021hpr,57
3159,13.188,n3254_2019np_150,n3254,2019np,150
3160,13.215,n3254_2019np_18,n3254,2019np,18
3161,12.937,n3370_1994ae_61,n3370,1994ae,61
3162,12.684,n3447_2012ht_56,n3447,2012ht,56
3163,12.787,n3447_2012ht_5,n3447,2012ht,5
3164,13.509,n3583_ASASSN-15so_150,n3583,ASASSN-15so,150
3165,12.548,n3972_2011by_51,n3972,2011by,51
3166,12.252,n3982_1998aq_50,n3982,1998aq,50
3167,12.434,n4038_2007sr_57,n4038,2007sr,57
3168,12.383,n4038_2007sr_64,n4038,2007sr,64
3169,11.478,n4424_2012cg_51,n4424,2012cg,51
3170,11.496,n4424_2012cg_56,n4424,2012cg,56
3171,11.551,n4536_1981B_50,n4536,1981B,50
3172,12.454,n4639_1990N_50,n4639,1990N,50
3173,13.173,n4680_1997bp_62,n4680,1997bp,62
3174,13.986,n5468_2002cr_57,n5468,2002cr,57
3175,14.001,n5468_2002cr_63,n5468,2002cr,63
3176,13.792,n5468_1999cp_57,n5468,1999cp,57
3177,13.969,n5468_1999cp_50,n5468,1999cp,50
3178,12.822,n5584_2007af_57,n5584,2007af,57
3179,12.754,n5584_2007af_56,n5584,2007af,56
3180,12.852,n5584_2007af_5,n5584,2007af,5
3181,12.787,n5584_2007af_64,n5584,2007af,64
3182,11.214,n5643_2013aa_56,n5643,2013aa,56
3183,11.29,n5643_2013aa_5,n5643,2013aa,5
3184,11.15,n5643_2017cbv_5,n5643,2017cbv,5
3185,11.265,n5643_2017cbv_18,n5643,2017cbv,18
3186,13.394,n5728_2009Y_56,n5728,2009Y,56
3187,13.494,n5728_2009Y_5,n5728,2009Y,5
3188,13.655,n5728_2009Y_65,n5728,2009Y,65
3189,12.949,n5861_2017erp_51,n5861,2017erp,51
3190,12.928,n5861_2017erp_150,n5861,2017erp,150
3191,12.958,n5861_2017erp_18,n5861,2017erp,18
3192,13.074,n5917_2005cf_57,n5917,2005cf,57
3193,13.085,n5917_2005cf_56,n5917,2005cf,56
3194,13.077,n5917_2005cf_64,n5917,2005cf,64
3195,12.254,n7250_2013dy_51,n7250,2013dy,51
3196,12.313,n7250_2013dy_56,n7250,2013dy,56
3197,14.03,n7329_2006bh_5,n7329,2006bh,5
3198,13.467,n7541_1998dh_57,n7541,1998dh,57
3199,13.369,n7541_1998dh_62,n7541,1998dh,62
3200,14.047,n7678_2002dp_57,n7678,2002dp,57
3201,14.134,n7678_2002dp_63,n7678,2002dp,63
3202,14.274,n976a_1999dq_57,n976a,1999dq,57
3203,14.227,n976a_1999dq_62,n976a,1999dq,62
3204,13.551,u9391_2003du_57,u9391,2003du,57
3205,13.499,u9391_2003du_63,u9391,2003du,63
3206,13.525,u9391_2003du_50,u9391,2003du,50
3207,-5.80388,MW_HSTSS,,MW,HSTSS
3208,-5.90341,MW_EDR3,,MW,EDR3
3209,-0.215,MW_ZWprior,,MW,ZWprior
3215,-28.4675,2000dn_57,,2000dn,57
3216,-28.5395,2001eh_57,,2001eh,57
3217,-28.6655,2002de_57,,2002de,57
3218,-28.7195,2003fa_57,,2003fa,57
3219,-28.557,2004ef_57,,2004ef,57
3220,-28.591,2002eb_57,,2002eb,57
3221,-28.304,2003gn_57,,2003gn,57
3222,-28.566,2003he_57,,2003he,57
3223,-28.45,2005M_57,,2005M,57
3224,-28.4455,2006gr_57,,2006gr,57
3225,-28.511,2007co_57,,2007co,57
3226,-28.456,2001cj_57,,2001cj,57
3227,-28.537,2004as_57,,2004as,57
3228,-28.684,2004bk_57,,2004bk,57
3229,-28.756,2005na_57,,2005na,57
3230,-28.661,2007cq_57,,2007cq,57
3231,-28.704,2007O_57,,2007O,57
3232,-28.5355,1999gp_57,,1999gp,57
3233,-28.4225,2000cw_57,,2000cw,57
3234,-28.6225,2001ck_57,,2001ck,57
3235,-28.4265,2005eq_57,,2005eq,57
3236,-28.6095,2006ac_57,,2006ac,57
3237,-28.5355,2006en_57,,2006en,57
3238,-28.4895,2007qe_57,,2007qe,57
3239,-28.5075,2008ar_57,,2008ar,57
3240,-28.432,2008dr_57,,2008dr,57
3241,-28.229,2007jg_51,,2007jg,51
3242,-28.5705,2008gp_51,,2008gp,51
3243,-28.6045,2007kk_51,,2007kk,51
3244,-28.481,2008gg_51,,2008gg,51
3245,-28.5455,2009D_51,,2009D,51
3246,-28.597,2010ao_51,,2010ao,51
3247,-28.3345,2014bj_51,,2014bj,51
3248,-28.6415,2007F_51,,2007F,51
3249,-28.4455,2008eq_51,,2008eq,51
3250,-28.69,2008Y_51,,2008Y,51
3251,-28.474,2012bh_51,,2012bh,51
3252,-28.499,2016fbk_51,,2016fbk,51
3253,-28.6545,2007bd_51,,2007bd,51
3254,-28.784,2010ii_51,,2010ii,51
3255,-28.4775,PS1-14xw_56,,PS1-14xw,56
3256,-28.836,2007cq_56,,2007cq,56
3257,-28.6455,2011hb_56,,2011hb,56
3258,-28.6595,2009cz_56,,2009cz,56
3259,-28.57,2013fn_56,,2013fn,56
3260,-29.217,2011dn_56,,2011dn,56
3261,-28.9335,LSQ12gdj_56,,LSQ12gdj,56
3262,-28.747,2007co_56,,2007co,56
3263,-28.5165,2005hj_5,,2005hj,5
3264,-28.5955,2008hj_5,,2008hj,5
3265,-28.579,2008cf_5,,2008cf,5
3266,-28.612,2008gg_5,,2008gg,5
3267,-28.3775,2005eq_5,,2005eq,5
3268,-28.5725,2005ir_5,,2005ir,5
3269,-28.347,2007jg_5,,2007jg,5
3270,-28.6135,2009D_5,,2009D,5
3271,-28.49,2008bz_5,,2008bz,5
3272,-28.3705,2007ux_5,,2007ux,5
3273,-28.6065,2009ad_5,,2009ad,5
3274,-28.609,2005ag_5,,2005ag,5
3275,-28.756,2005na_5,,2005na,5
3276,-28.4335,2006ot_5,,2006ot,5
3277,-28.4945,2006lu_5,,2006lu,5
3278,-28.596,2004ef_5,,2004ef,5
3279,-28.6595,2009cz_5,,2009cz,5
3280,-28.494,2005hc_5,,2005hc,5
3281,-28.6085,2009aa_5,,2009aa,5
3282,-28.59,2005bg_5,,2005bg,5
3283,-28.4555,2005iq_5,,2005iq,5
3284,-28.5725,2007bd_5,,2007bd,5
3285,-28.6515,2005ku_5,,2005ku,5
3286,-28.461,2008bq_5,,2008bq,5
3287,-28.6555,2008ar_5,,2008ar,5
3288,-28.636,2005M_5,,2005M,5
3289,-28.149,2007hx_5,,2007hx,5
3290,-28.5535,2001eh_63,,2001eh,63
3291,-28.4985,2003cq_63,,2003cq,63
3292,-28.4965,2004L_63,,2004L,63
3293,-28.4265,2006gr_64,,2006gr,64
3294,-28.5805,2007qe_64,,2007qe,64
3295,-28.3725,2005eq_64,,2005eq,64
3296,-28.725,2007ae_64,,2007ae,64
3297,-28.6665,2007bd_64,,2007bd,64
3298,-28.6545,2003fa_63,,2003fa,63
3299,-28.379,2004as_63,,2004as,63
3300,-28.5655,2006sr_64,,2006sr,64
3301,-28.717,2006az_64,,2006az,64
3302,-28.591,2001ah_63,,2001ah,63
3303,-28.544,2005hc_64,,2005hc,64
3304,-28.427,2006S_64,,2006S,64
3305,-28.5545,2006cf_64,,2006cf,64
3306,-28.5425,2006te_64,,2006te,64
3307,-28.5925,2003it_63,,2003it,63
3308,-28.602,2004ef_64,,2004ef,64
3309,-28.716,2005lz_64,,2005lz,64
3310,-28.4985,2006en_64,,2006en,64
3311,-28.6005,2006oa_64,,2006oa,64
3312,-28.4995,2007F_64,,2007F,64
3313,-28.445,2001az_63,,2001az,63
3314,-28.912,2005M_64,,2005M,64
3315,-28.6455,2006ac_64,,2006ac,64
3316,-28.534,2003kc_63,,2003kc,63
3317,-28.494,2005ms_64,,2005ms,64
