label,type,host
m101_2011fe_51,CAL,m101
m101_2011fe_56,CAL,m101
m1337_2006D_57,CAL,m1337
m1337_2006D_5,CAL,m1337
m1337_2006D_64,CAL,m1337
n0691_2005W_5,CAL,n0691
n1015_2009ig_51,CAL,n1015
n1015_2009ig_56,CAL,n1015
n1015_2009ig_66,CAL,n1015
n105a_2007A_5,CAL,n105a
n105a_2007A_65,CAL,n105a
n1309_2002fk_57,CAL,n1309
n1309_2002fk_63,CAL,n1309
n1365_2012fr_56,CAL,n1365
n1365_2012fr_5,CAL,n1365
n1448_2001el_50,CAL,n1448
n1448_2021pit_56,CAL,n1448
n1559_2005df_50,CAL,n1559
n2442_2015F_56,CAL,n2442
n2442_2015F_5,CAL,n2442
n2525_2018gv_51,CAL,n2525
n2525_2018gv_150,CAL,n2525
n2525_2018gv_18,CAL,n2525
n2608_2001bg_57,CAL,n2608
n3021_1995al_61,CAL,n3021
n3147_1997bq_62,CAL,n3147
n3147_2021hpr_57,CAL,n3147
n3254_2019np_150,CAL,n3254
n3254_2019np_18,CAL,n3254
n3370_1994ae_61,CAL,n3370
n3447_2012ht_56,CAL,n3447
n3447_2012ht_5,CAL,n3447
n3583_ASASSN-15so_150,CAL,n3583
n3972_2011by_51,CAL,n3972
n3982_1998aq_50,CAL,n3982
n4038_2007sr_57,CAL,n4038
n4038_2007sr_64,CAL,n4038
n4424_2012cg_51,CAL,n4424
n4424_2012cg_56,CAL,n4424
n4536_1981B_50,CAL,n4536
n4639_1990N_50,CAL,n4639
n4680_1997bp_62,CAL,n4680
n5468_2002cr_57,CAL,n5468
n5468_2002cr_63,CAL,n5468
n5468_1999cp_57,CAL,n5468
n5468_1999cp_50,CAL,n5468
n5584_2007af_57,CAL,n5584
n5584_2007af_56,CAL,n5584
n5584_2007af_5,CAL,n5584
n5584_2007af_64,CAL,n5584
n5643_2013aa_56,CAL,n5643
n5643_2013aa_5,CAL,n5643
n5643_2017cbv_5,CAL,n5643
n5643_2017cbv_18,CAL,n5643
n5728_2009Y_56,CAL,n5728
n5728_2009Y_5,CAL,n5728
n5728_2009Y_65,CAL,n5728
n5861_2017erp_51,CAL,n5861
n5861_2017erp_150,CAL,n5861
n5861_2017erp_18,CAL,n5861
n5917_2005cf_57,CAL,n5917
n5917_2005cf_56,CAL,n5917
n5917_2005cf_64,CAL,n5917
n7250_2013dy_51,CAL,n7250
n7250_2013dy_56,CAL,n7250
n7329_2006bh_5,CAL,n7329
n7541_1998dh_57,CAL,n7541
n7541_1998dh_62,CAL,n7541
n7678_2002dp_57,CAL,n7678
n7678_2002dp_63,CAL,n7678
n976a_1999dq_57,CAL,n976a
n976a_1999dq_62,CAL,n976a
u9391_2003du_57,CAL,u9391
u9391_2003du_63,CAL,u9391
u9391_2003du_50,CAL,u9391
n1316_1980N_50,CAL,n1316
n1316_1981D_50,CAL,n1316
n1316_2006dd_50,CAL,n1316
n1404_2007on_5,CAL,n1404
n1404_2007on_56,CAL,n1404
n1404_2011iv_5,CAL,n1404
n4526_1994DRichmond_50,CAL,n4526
2017hoq_18,HF,
2009jb_56,HF,
2014ai_51,HF,
ASASSN-14fa_56,HF,
2004at_57,HF,
PS15cku_150,HF,
2007ci_57,HF,
2007ci_64,HF,
2009al_51,HF,
2009al_5,HF,
2009al_65,HF,
2009cz_56,HF,
2009cz_5,HF,
ASASSN-15nr_150,HF,
2004bk_57,HF,
2018enc_18,HF,
2007qe_57,HF,
2007qe_64,HF,
ATLAS17bas_150,HF,
ASASSN-15tz_150,HF,
2010ao_51,HF,
2006sr_64,HF,
ASASSN-15jt_150,HF,
ASASSN-16em_150,HF,
2000ca_50,HF,
1998eg_62,HF,
PS1-14xw_56,HF,
2010gp_56,HF,
2000bh_50,HF,
2007F_51,HF,
2007F_64,HF,
1993H_50,HF,
AT2016bln_150,HF,
2006ac_57,HF,
2006ac_64,HF,
ASASSN-15sf_150,HF,
2005bg_5,HF,
2009D_5,HF,
2009D_51,HF,
2009D_65,HF,
PS16ccn_150,HF,
2008bf_57,HF,
2008bf_5,HF,
2008bf_64,HF,
1994M_61,HF,
2004br_57,HF,
ASASSN-16hz_150,HF,
2003he_57,HF,
2001cj_57,HF,
Gaia16agf_150,HF,
2007cq_56,HF,
2007cq_64,HF,
2003it_63,HF,
2007cq_57,HF,
AT2017cfc_150,HF,
2011dn_56,HF,
2007sw_65,HF,
2012bh_51,HF,
370356_15,HF,
2002he_57,HF,
2002he_63,HF,
2018jjd_18,HF,
2002bf_63,HF,
2002bf_50,HF,
ASASSN-16bq_150,HF,
PS15ahs_150,HF,
PSNJ0153424_150,HF,
SN2017hn_150,HF,
1992ag_50,HF,
SN2017ms_150,HF,
PSNJ2352371_150,HF,
2005M_57,HF,
2005M_5,HF,
2005M_64,HF,
SN2017mf_150,HF,
2005mc_5,HF,
2005mc_64,HF,
ASASSN-15uu_150,HF,
2005ms_64,HF,
1999gp_62,HF,
1999gp_57,HF,
ASASSN-15mf_150,HF,
ASASSN-17at_150,HF,
SNF20071021-000_57,HF,
2013fn_56,HF,
2002eb_57,HF,
2007co_57,HF,
2007co_56,HF,
2007co_64,HF,
1992P_50,HF,
2007su_65,HF,
ASASSN-15fa_150,HF,
2005na_5,HF,
2005na_64,HF,
2005na_57,HF,
ASASSN-16av_150,HF,
2006gj_5,HF,
2010ii_51,HF,
2006ev_5,HF,
PSNJ0252467_150,HF,
2009aa_5,HF,
2011hb_56,HF,
2005eq_57,HF,
2005eq_5,HF,
2005eq_64,HF,
2003U_63,HF,
