host,mu,sigma_mu,note
m101,29.178,0.041,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
m1337,32.920,0.123,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n105a,34.527,0.250,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n0691,32.830,0.109,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n976a,33.709,0.149,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n1015,32.563,0.074,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n1309,32.541,0.059,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n1365,31.378,0.056,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n1448,31.287,0.037,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n1559,31.491,0.061,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n2442,31.450,0.064,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n2525,32.051,0.099,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n2608,32.612,0.154,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n3021,32.464,0.158,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n3147,33.014,0.165,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n3254,32.331,0.076,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n3370,32.120,0.051,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n3447,31.936,0.034,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n3583,32.804,0.080,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n3972,31.635,0.089,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n3982,31.722,0.071,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n4038,31.603,0.116,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n4424,30.844,0.128,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n4536,30.835,0.050,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n4639,31.812,0.084,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n4680,32.599,0.205,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n5468,33.116,0.074,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n5584,31.772,0.052,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n5643,30.546,0.205,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n5728,33.094,0.099,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n5861,32.223,0.120,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n5917,32.363,0.125,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n7250,31.628,0.117,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n7329,33.246,0.119,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n7541,32.500,0.153,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n7678,33.187,0.067,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
u9391,32.848,0.067,PLACEHOLDER (R22 Cepheid) - replace with your TRGB measurement
n1316,,,no placeholder - provide your TRGB measurement (currently dropped from fit)
n1404,,,no placeholder - provide your TRGB measurement (currently dropped from fit)
n4526,,,no placeholder - provide your TRGB measurement (currently dropped from fit)
