RA,DEC,X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2
169.97345728270693,12.996112580718995,933.4272675513796,1020.0847732104173,564.0,1,23.121,0.008,127.9,0.011,0.019,0,19.88,0.002,549.1,0.003,0.027,0
170.0048743402378,13.015611913763356,3543.6590028040528,1084.706103937365,522.1,1,23.37,0.01,110.7,0.001,0.043,0,20.013,0.002,510.0,0.008,0.04,0
169.99607204015555,13.023439230450334,3397.6766854757116,284.69952457800457,508.2,1,21.358,0.003,311.1,-0.004,0.035,0,20.522,0.003,401.6,0.015,0.036,0
169.9884784894295,12.990269083017592,1514.6005088849324,1961.7096346691183,408.3,1,22.443,0.006,175.1,0.011,0.052,0,20.663,0.003,368.5,0.022,0.035,0
169.974143759101,12.996932483482073,1009.750050796608,997.5558332578978,306.0,1,23.068,0.009,123.0,0.013,0.026,2,21.108,0.004,280.1,0.014,0.027,2
170.01018270457425,13.017043619074688,3895.3344437616583,1207.2461021144177,257.0,1,22.784,0.007,149.9,0.005,0.058,0,21.812,0.005,208.5,0.012,0.044,0
169.97692296564153,12.991078944169645,898.9599567242857,1459.8660404194338,165.3,1,23.73,0.012,90.6,0.024,0.035,0,22.386,0.008,138.2,0.027,0.041,2
170.00262486068294,13.025660334601477,3850.2575867019873,409.398823327114,160.5,1,24.478,0.018,59.4,-0.001,0.035,0,22.471,0.007,149.0,0.004,0.018,0
170.0017089655773,13.005462320787498,2929.323165313861,1563.2380259031468,154.6,1,23.809,0.013,82.5,-0.026,0.204,0,22.583,0.008,130.7,-0.04,0.217,0
169.98750901119476,12.990042341669753,1449.7057264278224,1937.5215839385,149.0,1,23.034,0.009,117.6,0.017,0.052,2,23.159,0.012,91.4,0.015,0.048,2
169.9705066962346,12.997231882809642,817.3009537475434,837.6574124506772,32.2,1,26.248,0.059,18.5,-0.217,0.06,0,25.327,0.042,26.0,-0.312,0.063,0
170.00800135160364,13.011588706484607,3541.7389577301064,1444.5324497637553,121.3,1,24.435,0.019,56.9,0.008,0.056,0,22.98,0.01,107.0,0.005,0.047,0
170.01493398500068,13.00683640789659,3716.819155173119,1999.4749855641844,98.8,1,24.546,0.02,54.4,0.02,0.058,0,23.456,0.013,82.4,0.005,0.065,0
169.97813966065277,12.984041040635645,641.7630010549879,1938.0760106709045,98.5,1,24.296,0.017,64.3,-0.053,0.116,0,23.626,0.015,74.4,-0.072,0.195,0
169.99472414156645,13.00492434157828,2519.41805098847,1322.4361271524672,88.6,1,24.302,0.02,53.0,-0.028,0.225,0,23.812,0.017,65.6,-0.061,0.22,0
169.983197368856,12.985727779711976,1007.8376450822157,2032.6477686981632,87.4,1,24.636,0.021,51.9,0.012,0.069,0,23.741,0.015,70.2,-0.005,0.045,0
170.00223690458378,13.01879589502916,3536.0224492272096,794.97520092029,80.3,1,25.473,0.036,30.3,-0.027,0.065,2,23.602,0.015,74.3,-0.009,0.026,2
170.0008346332516,13.01018331279292,3087.113950957658,1248.117878821026,74.5,1,24.973,0.028,38.9,-0.115,0.307,2,23.834,0.017,63.1,-0.107,0.347,0
169.97091112121993,13.009172194371537,1380.2220364676255,143.2299733566686,53.1,1,27.678,0.198,5.5,-0.125,1.563,0,24.064,0.021,51.9,-0.026,0.636,0
169.99049085403863,13.019083065967637,2903.872650889303,322.3297775874571,70.8,1,25.758,0.042,25.7,0.024,0.022,0,23.855,0.017,65.7,-0.0,0.021,2
170.00405888026432,13.004945660351838,3036.3956781391726,1686.0693561429714,65.2,1,26.528,0.078,13.8,0.077,0.045,0,23.921,0.017,63.6,-0.02,0.038,0
169.97088750727997,13.009202752821157,1380.2618869750745,140.51015201163065,50.2,1,27.101,0.126,8.6,-0.027,1.001,0,24.02,0.024,45.4,-0.0,0.533,2
169.97093118958074,13.009146761422354,1380.2121630227916,145.50982347179564,49.8,1,27.218,0.158,6.9,-0.157,1.549,0,24.146,0.022,48.6,-0.056,0.698,0
169.9750221194916,13.004836063493167,1416.8871918568975,559.7223792631657,61.8,1,24.808,0.026,41.7,-0.071,0.204,2,24.216,0.024,45.2,-0.1,0.204,2
169.99609434107649,13.023412137901875,3397.7368246536507,287.139363784333,44.5,1,24.852,0.033,32.5,0.008,1.302,0,24.366,0.039,27.8,-0.029,1.854,0
169.9822260878,12.988511272180789,1081.279897881528,1823.931089709035,63.8,1,25.787,0.046,23.8,0.033,0.04,0,24.004,0.018,59.1,0.023,0.049,0
169.99934264795442,13.029296820462084,3825.8174635510227,71.58117566720212,62.6,1,24.962,0.026,41.8,-0.081,0.307,0,24.369,0.023,46.5,-0.093,0.344,0
169.9907994029582,13.018570231263066,2898.654711760761,364.257048971839,59.0,1,24.969,0.027,40.0,-0.042,0.318,0,24.412,0.025,43.2,-0.068,0.363,0
170.00016048291008,13.010379802565346,3058.540324235058,1210.1805317000217,57.6,1,25.41,0.036,30.2,-0.064,0.264,0,24.281,0.022,48.8,-0.044,0.205,0
169.98574207474024,13.000009612802607,1801.116870734155,1265.6038328570642,60.7,1,25.0,0.027,40.9,-0.013,0.235,0,24.457,0.024,44.5,-0.028,0.184,0
169.9709480827046,13.009123305117129,1380.112271437635,147.54968986725953,42.7,1,27.461,0.17,6.4,-0.324,1.559,0,24.333,0.026,41.7,-0.051,0.835,0
169.97057976634173,13.009643775172728,1382.6898997329506,102.55263495948986,38.5,1,27.142,0.155,7.0,-0.287,1.068,0,24.564,0.034,32.0,-0.097,0.822,0
169.99567204600845,13.026033289270243,3486.7221372216222,118.55995921588092,54.5,1,25.335,0.033,33.2,-0.086,0.265,0,24.416,0.025,43.0,-0.113,0.384,2
170.00793086367352,13.00683870351731,3332.2034757770016,1724.5251929231324,55.4,1,25.802,0.046,23.8,0.016,0.031,0,24.271,0.022,49.9,0.008,0.062,0
170.001234879215,13.01711476507415,3408.91905039111,854.6719769670287,51.8,1,26.58,0.079,13.7,-0.045,0.016,0,24.307,0.022,49.8,0.015,0.031,0
169.9741308936574,12.987394575835562,569.4889492534106,1575.1902759112359,45.1,1,27.442,0.183,5.9,0.4,0.463,0,24.455,0.024,44.6,-0.018,0.055,0
169.98934243175103,12.992338880308237,1657.182916007646,1869.5249097562814,49.7,1,25.831,0.051,21.4,-0.048,0.54,0,24.335,0.024,44.7,-0.065,0.45,0
169.99753605707048,13.026579380294864,3611.821013036005,159.02660677201428,53.1,1,25.963,0.048,22.6,-0.037,0.132,0,24.376,0.023,48.0,-0.049,0.149,0
169.97100072464494,13.009052710134716,1379.9126069908968,153.75928258255468,38.4,1,26.681,0.107,10.1,-0.294,0.907,2,24.475,0.03,36.3,-0.136,0.706,2
169.9802915564938,13.015456995016311,2182.284225471965,138.63584478919904,43.4,1,27.558,0.167,6.5,0.004,0.413,0,24.549,0.025,42.9,-0.065,0.203,0
169.9709665208934,13.00910103899543,1380.1523867042306,149.5795561469846,39.2,1,27.396,0.158,6.9,-0.302,1.142,0,24.466,0.028,38.4,-0.018,0.859,0
170.00618904703276,13.000765923445146,2970.770851158385,2020.5877183198836,46.5,1,26.092,0.06,18.1,-0.09,0.373,0,24.437,0.025,42.7,-0.059,0.291,2
170.0016960209597,13.005470418649212,2928.9630910804067,1562.2480929973901,35.4,1,25.548,0.057,19.0,-0.034,1.552,0,24.406,0.037,29.7,-0.105,1.544,0
169.96880082876274,12.992619685606051,507.8163596049592,1049.065218384776,44.9,1,26.714,0.104,10.4,-0.013,0.103,0,24.512,0.025,43.4,0.016,0.031,0
170.0083129251664,13.016803589064041,3782.9152189842066,1148.4805879796845,37.1,1,26.31,0.078,13.9,-0.056,0.238,2,24.587,0.039,28.1,-0.088,0.234,2
169.9707814931527,13.009356738631222,1381.191200441198,127.31101494858137,41.8,1,25.692,0.046,23.7,-0.149,0.582,2,24.651,0.042,25.9,-0.093,0.656,0
169.97971509702776,12.998772397909745,1407.5170619815067,1104.5066020786303,47.9,1,25.599,0.041,26.3,0.004,0.402,0,24.538,0.027,40.0,-0.106,0.441,0
169.99352354691533,12.997461901621772,2121.5393287372503,1723.1119737550434,44.2,1,26.87,0.107,10.2,0.007,0.031,0,24.527,0.025,42.9,-0.007,0.009,0
169.97098176379052,13.009079209311519,1380.0324851424225,151.45943317504327,35.7,1,27.699,0.213,5.1,-0.327,1.432,0,24.602,0.031,35.2,0.012,0.864,0
169.9702453467545,13.010087856296957,1383.74777310058,63.39520439118451,42.2,1,24.967,0.027,40.7,-0.077,0.428,0,26.302,0.117,9.3,-0.41,0.972,0
169.97004232103336,13.010378283056445,1385.3164632769858,38.40683914094538,41.6,1,26.754,0.094,11.5,-0.496,0.84,0,24.547,0.027,39.5,-0.1,0.578,0
169.99668418420728,13.004227198602955,2597.278758207018,1440.6079252071424,40.5,1,27.386,0.156,6.9,0.009,0.19,0,24.615,0.027,39.6,0.019,0.083,0
170.00020685314783,12.997691401178807,2503.603378824815,1971.2535435940938,40.7,1,25.955,0.06,18.2,-0.086,0.807,0,24.598,0.03,36.1,-0.076,0.649,0
169.97060014151677,13.009606983402508,1382.1900382584893,105.51244306243355,34.4,1,27.646,0.2,5.4,-0.339,1.317,0,24.718,0.032,33.8,-0.026,0.765,0
169.9999328596017,13.007707333122287,2929.4918459353594,1360.0013912807945,49.4,1,25.604,0.038,28.4,0.002,0.027,0,24.629,0.027,40.3,-0.006,0.029,0
170.0002318845831,12.997704021412408,2505.5534942860777,1971.473518354237,43.1,1,25.569,0.043,25.4,-0.094,0.609,0,24.659,0.032,34.4,-0.12,0.714,0
170.0027657224255,13.003832428094293,2916.260213503019,1702.0889662238062,37.7,1,27.648,0.201,5.4,-0.059,0.119,0,24.737,0.029,37.2,-0.01,0.017,0
170.01762246518953,13.008872991427166,3952.000700201902,1983.314749200329,39.4,1,25.719,0.054,20.2,-0.088,0.329,0,24.824,0.034,32.3,-0.072,0.378,0
169.96200614489086,12.990824886229928,34.332570888933034,892.4081368810059,39.2,1,26.075,0.061,17.9,-0.063,0.426,0,24.657,0.031,34.7,-0.13,0.456,0
169.95886324884046,12.999912612695486,276.15805697474514,223.0208247470609,34.6,1,26.678,0.122,8.9,0.042,0.114,2,24.772,0.033,32.6,-0.007,0.055,2
170.01216961826404,13.010763223379533,3734.6209876568773,1656.6374346985442,38.9,1,26.95,0.116,9.3,0.019,0.004,0,24.691,0.029,37.7,-0.025,0.005,0
169.96998931239852,13.004212885592828,1105.4318455316914,400.6945586071704,39.2,1,26.728,0.089,12.2,-0.036,0.43,0,24.723,0.029,36.8,-0.06,0.372,0
169.9766331813343,12.999887233501509,1284.5001260290383,917.4595832058037,43.3,1,25.442,0.037,29.3,-0.15,0.477,0,24.907,0.034,31.8,-0.178,0.465,0
169.9707427414162,13.009410571722347,1381.4209517559234,122.63132144985596,38.0,1,25.972,0.058,18.8,-0.06,0.718,2,24.795,0.034,32.0,-0.142,0.763,0
170.00023555217203,12.997678939014778,2504.643538653023,1973.1334142142225,38.8,1,25.769,0.051,21.3,-0.129,0.738,0,24.743,0.034,32.3,-0.134,0.733,0
169.9707195477735,13.00944396389476,1381.6108018409213,119.76150914068758,28.8,1,26.758,0.146,7.4,0.166,1.183,2,24.919,0.042,25.9,-0.058,1.008,2
170.00249552871196,13.029370005871911,4000.503268521778,189.28246978940666,42.4,1,25.939,0.055,19.6,-0.223,0.105,0,24.892,0.031,35.0,-0.236,0.119,0
169.9960448019029,13.023412156028618,3395.0265742154384,285.2195050199418,30.2,1,25.765,0.058,18.7,-0.085,1.438,0,24.871,0.05,21.6,0.096,1.867,0
170.013167175534,13.008078890404436,3673.5588549450467,1855.7546766263883,33.6,1,27.616,0.204,5.3,0.117,0.09,0,24.855,0.033,33.1,-0.002,0.073,0
169.9796968861315,12.998795056018334,1407.5169466022576,1102.4367382084702,38.3,1,25.832,0.05,21.8,-0.025,0.467,0,24.847,0.036,30.5,-0.127,0.536,0
169.96287891375013,12.995941979960945,322.88251962552323,617.534620556646,40.9,1,25.989,0.052,21.0,-0.087,0.347,0,24.793,0.031,34.9,-0.106,0.401,0
169.9967173794612,12.996665088120446,2263.9065206584714,1896.3797919539745,41.4,1,25.588,0.041,26.7,-0.033,0.2,0,24.941,0.034,31.5,-0.069,0.185,0
169.98329618863616,12.99281322061948,1338.7412585312572,1603.904138016296,39.5,1,25.681,0.044,24.6,-0.046,0.356,0,24.919,0.036,30.4,-0.075,0.482,0
169.97297442526806,13.007818590755893,1435.5538912573509,303.37913512934597,40.5,1,25.643,0.041,26.6,-0.048,0.313,0,24.988,0.036,30.5,-0.065,0.433,0
169.97062503937664,13.009573010521494,1382.0701974519382,108.48224840859575,34.2,1,26.975,0.111,9.8,-0.226,0.699,0,24.807,0.033,32.7,-0.133,0.619,0
170.00881181836397,13.022414449777525,4049.4220549127267,838.6894898572073,37.0,1,26.728,0.09,12.1,0.006,0.18,0,24.818,0.031,34.7,-0.002,0.112,0
170.00857752868887,13.010184862520537,3512.7333251859864,1550.4256456935377,36.2,1,26.217,0.066,16.4,-0.111,0.392,0,24.837,0.034,32.1,-0.104,0.512,0
169.97007080265257,13.010344257513847,1385.3966408583476,41.51663417544298,32.1,1,27.029,0.126,8.6,-0.635,0.947,2,24.928,0.036,30.4,-0.03,0.684,0
169.97027140173404,13.010052413669477,1383.6279395400684,66.49500118812968,36.6,1,25.386,0.035,30.7,-0.072,0.544,0,25.637,0.061,17.9,-0.429,0.617,2
169.96789892030765,12.982926336926695,1.8406033262783028,1605.5814129441912,37.1,1,25.742,0.051,21.4,-0.098,0.011,1,25.082,0.038,28.4,-0.173,0.152,1
169.97850594715922,13.01572132166273,2094.7248660233245,53.85190448456725,39.8,1,25.931,0.046,23.8,-0.219,0.053,0,25.094,0.04,27.1,-0.215,0.061,0
169.97417175852266,12.996911569883075,1010.3802151238414,999.9056752341908,24.6,1,26.732,0.108,10.0,0.087,1.463,0,24.984,0.056,19.4,-0.03,1.958,2
170.0027874380656,13.021345698468334,3675.282693003007,667.1328394633797,31.8,1,27.606,0.177,6.1,0.074,0.063,0,24.993,0.035,31.0,-0.003,0.045,0
169.97113390553784,12.984324820582852,254.1962163064952,1646.0973542733093,27.7,1,26.129,0.073,14.9,-0.293,0.545,2,25.402,0.065,16.6,-0.273,0.739,2
169.96342766082472,12.998649838120262,479.26293591109595,476.5330299713443,39.3,1,25.716,0.041,26.7,-0.058,0.095,0,25.139,0.038,28.8,-0.084,0.106,0
169.97444837363065,12.992728248989613,834.4155728079418,1263.0893384298108,33.0,1,26.707,0.093,11.7,0.041,0.023,0,24.919,0.035,30.8,-0.007,0.044,0
170.015723806188,13.01125830412029,3950.498535510481,1766.4990168675479,30.3,1,27.448,0.178,6.1,-0.259,0.069,0,25.039,0.037,29.4,-0.134,0.075,0
170.0116746623374,13.011217433963132,3727.058001841891,1610.250527215779,31.5,1,26.979,0.122,8.9,0.121,0.07,0,24.996,0.036,30.0,0.027,0.02,0
169.968116855463,12.998860479346543,756.0870754790002,646.7903034053182,33.0,1,27.208,0.125,8.7,-0.041,0.106,0,25.017,0.034,31.5,-0.053,0.074,0
170.0061273932961,13.014188413642389,3551.056796566532,1217.5073291028075,36.0,1,26.007,0.053,20.5,-0.045,0.136,0,25.026,0.037,29.5,0.004,0.253,0
170.01020557339533,13.017019549523676,3895.554584161145,1209.5559489861107,26.5,1,25.846,0.06,18.0,0.006,1.3,0,25.262,0.064,16.9,0.073,1.845,0
169.9701004142787,13.010312170217986,1385.6268224763596,44.55643298475351,31.7,1,26.548,0.094,11.6,-0.367,0.486,0,25.128,0.039,28.1,-0.083,0.488,0
169.9706490354843,13.009537934837867,1381.8503530253072,111.48205233426944,29.9,1,26.534,0.087,12.5,-0.24,0.584,2,25.009,0.04,26.8,-0.199,0.715,0
170.00051288831278,13.00165772526979,2696.050913275262,1744.3074061030272,36.6,1,25.694,0.043,25.5,-0.014,0.036,0,25.222,0.042,26.0,0.036,0.03,0
169.97855837896057,13.015721929708048,2097.665133092797,55.851756717364,34.5,1,25.814,0.046,23.5,-0.231,0.052,2,25.206,0.044,24.8,-0.263,0.1,2
169.96586897174072,13.00146681036503,747.4230553430417,403.4863526923056,29.4,1,26.042,0.063,17.2,-0.261,1.141,0,25.074,0.046,23.6,-0.289,1.285,0
169.97165757808182,13.008169230714858,1377.2867975923891,231.43418862489787,27.3,1,27.782,0.214,5.1,-0.529,0.592,0,25.13,0.041,26.5,-0.032,0.625,2
170.0102075451294,13.016393813835307,3868.905233883308,1246.513665594615,30.9,1,26.17,0.066,16.5,-0.118,0.602,0,25.102,0.042,26.1,-0.121,0.601,0
170.00410800500532,13.017012646681147,3561.8937092029028,972.4233877287943,32.3,1,26.0,0.063,17.3,-0.036,0.323,0,25.246,0.042,25.6,-0.113,0.33,0
169.99832112271378,13.017974106178434,3286.1634330430247,691.033417141248,30.4,1,27.072,0.121,9.0,0.042,0.004,2,25.062,0.037,29.0,-0.041,0.002,2
170.000853663664,13.01018773625921,3088.3540433360763,1248.59784040483,29.0,1,26.154,0.074,14.8,-0.212,0.995,2,25.026,0.044,24.9,-0.154,1.02,0
169.9781094729533,12.984078964264828,641.8128075006468,1934.556241881192,35.0,1,25.876,0.049,21.9,-0.188,0.304,0,25.113,0.04,27.2,-0.238,0.432,0
169.98753123628939,12.99002565851066,1450.195857706083,1939.4114569392393,21.1,1,25.408,0.066,16.4,0.079,0.987,0,25.658,0.107,10.1,0.003,1.276,0
170.00746972813528,13.001349517513752,3067.1367946484397,2035.7261903648152,34.1,1,26.336,0.067,16.1,-0.053,0.035,0,25.031,0.036,30.0,-0.022,0.026,0
169.98418186982542,13.003181973489907,1855.7957974839112,1015.0300103475065,31.8,1,26.913,0.104,10.5,-0.025,0.014,0,25.077,0.036,30.0,-0.035,0.022,0
169.9846450584848,13.018734073630462,2566.483296956614,116.02520945525377,27.5,1,27.087,0.134,8.1,0.078,0.121,2,25.114,0.041,26.2,0.018,0.224,0
169.9969317489584,13.002970190391615,2555.5712808043963,1525.4625749506004,26.4,1,27.12,0.146,7.5,-0.083,0.644,0,25.106,0.043,25.1,-0.088,0.431,2
169.97665637662064,12.999902350170624,1286.490231344669,917.4595722128896,31.2,1,25.863,0.054,20.3,-0.186,0.526,0,25.263,0.046,23.5,-0.236,0.511,0
170.0158537858934,13.009242394071524,3870.9913100437043,1891.7612179299067,28.4,1,27.23,0.151,7.2,-0.126,0.208,2,25.128,0.04,27.1,-0.04,0.089,0
169.9702185753592,13.010134720222641,1384.3375925174946,59.59545103216838,25.7,1,25.549,0.053,20.5,-0.133,0.453,0,26.382,0.11,9.9,-0.498,1.137,0
169.96652940808647,12.996631279813842,563.4008787570333,718.556647959138,33.3,1,25.977,0.052,20.9,-0.08,0.252,0,25.232,0.042,25.8,-0.049,0.293,0
169.9706720564514,13.009513928264239,1382.0704934247947,113.79189920596241,26.0,1,27.128,0.125,8.7,-0.256,0.854,0,25.153,0.047,23.1,-0.23,0.871,2
170.00249182216004,13.029331752643174,3998.683287582209,191.35234371338748,30.5,1,26.288,0.07,15.6,-0.31,0.234,2,25.21,0.042,26.0,-0.268,0.208,0
169.98096201816057,12.99923600038846,1498.503039574653,1125.3647276775498,33.3,1,25.672,0.042,25.8,-0.037,0.24,0,25.462,0.052,20.8,-0.026,0.402,0
169.97162591772232,13.00821052955988,1377.3565967356815,227.76442958918503,26.8,1,27.448,0.157,6.9,-0.233,0.646,0,25.176,0.042,25.7,-0.0,0.684,0
170.014401637305,13.015583968524572,4063.3573207010695,1458.14867276531,29.6,1,26.175,0.066,16.4,-0.023,0.291,2,25.242,0.044,24.5,-0.028,0.299,0
169.9892006464402,13.01133495720156,2495.273583149956,726.9854216705764,33.4,1,26.146,0.054,20.2,-0.043,0.015,0,25.262,0.041,26.4,0.008,0.012,0
169.99597973054037,13.00545662222477,2612.3939343524585,1339.7144771907567,29.6,1,26.589,0.081,13.3,-0.028,0.186,0,25.207,0.041,26.4,-0.022,0.196,0
169.97213418177552,13.007482169064108,1373.2998822652385,290.56032208749076,25.5,1,27.592,0.18,6.0,-0.01,0.712,0,25.263,0.044,24.6,-0.001,0.634,0
169.97503529370513,13.000282465908597,1212.3515169006473,831.5056347180915,24.7,1,27.718,0.216,5.0,0.056,1.008,0,25.287,0.045,23.9,-0.224,0.647,0
169.98750078044748,13.010160394654546,2349.5560501871055,730.1860161416362,31.2,1,25.909,0.049,22.3,-0.052,0.281,0,25.497,0.051,21.4,-0.022,0.326,0
169.99026631202395,13.018903001092822,2883.7216853895584,324.13976986621157,25.9,1,27.63,0.213,5.1,0.051,0.002,0,25.316,0.043,25.5,0.025,0.001,0
169.97210912433556,13.007517615917054,1373.4797206732583,287.4905229862047,24.8,1,27.486,0.168,6.5,-0.204,0.634,0,25.297,0.046,23.7,0.094,0.636,0
169.97247732107706,12.978879532970723,73.55836277567151,2035.5127413742614,31.8,1,25.929,0.054,20.1,-0.183,0.425,0,25.088,0.045,24.4,-0.21,0.932,0
169.99474120873944,13.004909693402587,2519.7181527029,1323.976024219904,25.2,1,25.905,0.073,14.9,-0.082,1.151,0,25.45,0.058,18.6,-0.168,1.096,0
