X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2,RA,DEC
3007.1983591065054,1702.610303495347,1249.0,1,21.325,0.003,420.0,-0.062,0.039,0,19.433,0.001,1175.8,-0.017,0.04,0,161.77092588546654,11.810125382012917
3886.2009354051565,662.1035253077767,1124.8,1,21.383000000000003,0.003,421.3,-0.0289999999999999,0.0289999999999999,0,19.722,0.001,1042.3,0.018,0.0409999999999999,0,161.77977063209386,11.793649322126177
3893.2127803553217,674.6660460161647,887.0,1,22.251,0.004,276.7,-0.0409999999999999,0.0289999999999999,0,20.179,0.001,842.3,0.005,0.04,0,161.77955952263758,11.793620848920236
2794.2305990847935,1035.1242422789114,377.4,1,22.831,0.005,209.2,-0.053,0.008,0,22.159,0.003,313.9,-0.022,0.015,0,161.7811008991196,11.809612871181644
1170.6759082352173,1712.9115008186977,101.8,1,29.197,0.5379999999999999,2.0,-0.575,0.013,0,26.048,0.054,20.2,0.422,0.018,0,161.7814597669925,11.833273045562386
3098.236144639825,863.1994732936241,75.9,1,29.197,0.517,2.1,-0.411,0.001,0,26.479,0.06,18.1,0.433,0.018,0,161.78164732043575,11.804865793051178
469.6777160732864,276.0681748203815,143.5,1,24.368,0.012,88.5,-0.004,0.04,0,23.966,0.01,112.8,0.023,0.0289999999999999,0,161.80461498342223,11.835165181392679
1270.9561221388838,1811.3434878754888,129.3,1,24.569000000000003,0.0139999999999999,77.7,-0.075,0.02,0,24.083,0.011,103.1,-0.001,0.023,0,161.7795783781492,11.832489540743188
3305.190082817163,2016.9094140098382,58.9,1,24.42,0.019,58.0,0.183,0.11,0,26.735,0.104,10.4,0.035,0.081,0,161.7650019785978,11.807824982289349
1311.7417633666998,632.8514765306459,119.3,1,25.425,0.025,44.1,-0.01,0.03,0,23.982,0.01,110.8,0.005,0.023,0,161.79505199861384,11.826432096355571
1039.7223853434023,964.1054066353374,114.8,1,24.93,0.018,60.5,-0.066,0.149,0,24.156,0.011,97.4,-0.119,0.166,0,161.79217003506517,11.83139235279562
3671.0979335080524,2035.0906098973387,57.1,1,25.679,0.0409999999999999,26.2,-0.181,0.059,0,26.033,0.059,18.4,0.2019999999999999,0.4029999999999999,0,161.76261398442523,11.803211850964106
2458.2053409401406,211.405063864721,100.5,1,25.386,0.023,46.5,-0.0969999999999999,0.127,0,24.238000000000003,0.012,88.9,-0.13,0.2239999999999999,0,161.79416568548768,11.809869696742231
1345.5420062519063,2027.3545631116172,38.8,1,24.864,0.0279999999999999,38.4,0.142,0.176,0,27.298,0.205,5.3,-0.386,0.217,0,161.77629410060317,11.832563781738635
1632.6216305044275,752.8380761951379,50.1,1,28.481,0.2689999999999999,4.0,-0.147,0.022,0,27.064,0.103,10.6,0.147,0.294,0,161.7916039342679,11.822986336065595
1513.2603959258115,1857.4334186659191,91.5,1,25.923,0.035,30.9,-0.037,0.121,0,24.334,0.013,86.0,0.001,0.045,0,161.77756622756803,11.82969985206451
509.49656882702743,326.02878816551123,92.6,1,25.031,0.02,54.8,-0.125,0.123,0,24.563,0.015,74.6,-0.133,0.182,0,161.80372072292718,11.834913622467294
44.987230246567975,2032.501304565167,38.7,1,25.045,0.0289999999999999,37.6,0.3229999999999999,0.001,0,27.517,0.217,5.0,-0.094,0.474,0,161.78372625970675,11.84841964180444
2563.6949082669526,2003.6605462603713,35.8,1,28.372,0.3329999999999999,3.3,-0.423,0.051,0,26.439,0.0819999999999999,13.3,0.341,0.031,0,161.76951754312273,11.817206569267999
3676.401380753334,228.93818647282993,77.3,1,25.413,0.025,43.8,-0.086,0.21,0,24.73,0.018,59.7,-0.11,0.298,0,161.78687505512303,11.794207582375494
2202.4880953567917,1991.2805865730288,40.8,1,28.678,0.48,2.3,-0.136,0.031,0,25.762,0.048,22.7,0.129,0.02,0,161.7717888703435,11.821707304329294
2606.075652688221,889.6697801887753,32.4,1,29.267,0.539,2.0,-0.382,0.032,0,27.709,0.182,6.0,0.148,0.0,0,161.78414926596048,11.811309710032821
1988.0239906392483,847.9320692116307,34.0,1,27.93,0.262,4.1,-0.2769999999999999,0.006,0,27.051,0.102,10.6,0.486,0.054,0,161.7882829663588,11.818964017990771
3738.147486199915,206.08727608604994,39.6,1,28.585,0.314,3.5,-0.293,0.069,0,26.672,0.07,15.5,0.196,0.119,0,161.78682673389085,11.793286315872454
2060.977091871118,635.1888370376595,71.2,1,25.855,0.032,33.6,-0.019,0.12,0,24.85,0.017,62.6,-0.052,0.131,0,161.79072473124384,11.817009760650317
1730.4985039845196,1995.8881034596393,31.6,1,27.471,0.158,6.9,-0.153,0.034,0,26.287,0.076,14.3,0.362,0.078,0,161.77447506932558,11.827639951256282
3276.527105982166,2025.6395115885641,27.8,1,28.752,0.481,2.3,-0.321,0.049,0,26.587,0.096,11.3,0.212,0.124,0,161.76505419224975,11.808234093823751
3532.1982436336853,2008.1090876029573,31.4,1,28.191,0.306,3.5,-0.418,0.263,0,26.209,0.069,15.6,0.33,0.253,0,161.76378731286357,11.80486889050686
264.46613628984517,1124.7649810345513,65.6,1,26.494,0.053,20.4,-0.0289999999999999,0.009,0,24.848000000000003,0.017,62.1,0.0069999999999999,0.017,0,161.7944475057627,11.841655295073844
4025.7752795859105,1407.3094214370622,34.0,1,29.052,0.482,2.3,-0.179,0.0069999999999999,0,26.941,0.093,11.7,0.301,0.0,0,161.7689093875505,11.795544915933883
3033.264926766632,1219.0078669224579,28.8,1,28.938,0.41,2.7,-0.467,0.128,0,26.808000000000003,0.1,10.9,0.472,0.213,0,161.77723993654433,11.807446072404366
460.4171919729985,284.6492036134596,66.8,1,25.874,0.033,33.2,-0.072,0.016,0,24.995,0.019,57.7,-0.031,0.008,0,161.80455198129422,11.835319823696265
1225.0205507579694,1946.4146059183583,60.3,1,27.388,0.109,9.9,-0.051,0.06,0,24.903,0.018,59.4,-0.004,0.016,0,161.7780598050545,11.833679673759757
1043.7966300725461,1934.4936033009035,59.3,1,27.529,0.125,8.7,-0.055,0.018,0,24.916,0.019,58.5,0.015,0.047,0,161.7792649502061,11.835855954400275
1883.909164311392,1353.2944231963238,30.7,1,27.607,0.217,5.0,0.14,0.002,0,27.033,0.104,10.4,0.121,0.037,0,161.78211852611216,11.822697523528142
1521.1228791431356,560.7893286504495,35.7,1,28.954,0.3929999999999999,2.8,-0.236,0.0279999999999999,0,26.798,0.079,13.8,0.146,0.0969999999999999,0,161.79482380330822,11.823462856019804
4061.836990918903,2027.6485946325683,24.7,1,28.71,0.492,2.2,-0.354,0.043,0,26.68,0.103,10.5,0.216,0.05,0,161.76041798329902,11.798128361715538
2724.37557208829,1217.3423426878096,59.9,1,26.667,0.059,18.4,-0.081,0.114,0,24.991,0.019,56.8,-0.064,0.136,0,161.7790611481849,11.811392753787196
3846.479297678827,838.5621149401152,56.7,1,26.859,0.072,15.2,0.039,0.124,0,24.999,0.02,54.5,0.0069999999999999,0.069,0,161.777615426237,11.795050604177268
3392.97156020115,2021.2444943092505,25.0,1,28.407,0.375,2.9,-0.301,0.044,0,26.555,0.092,11.8,0.429,0.373,0,161.76442970837275,11.806720446089574
293.5352488365571,406.40205031675373,57.3,1,25.924,0.035,30.9,-0.107,0.247,0,25.183000000000003,0.023,47.9,-0.136,0.3329999999999999,0,161.80385930961128,11.837942452668532
3516.194786825142,936.4127638496049,54.1,1,26.14,0.042,25.5,-0.051,0.358,0,25.17,0.023,47.3,-0.033,0.362,0,161.77822397810164,11.799828397065257
2166.3863925345604,713.027511926697,58.4,1,25.878,0.034,32.2,-0.064,0.179,0,25.202,0.022,48.3,-0.07,0.163,0,161.7890692073295,11.816050436751649
3025.354240150151,2012.904917905033,24.7,1,28.351,0.33,3.3,-0.373,0.185,0,26.629,0.094,11.5,0.29,0.406,0,161.7666948409482,11.811383183790989
2600.5910515236774,1364.7517568819173,55.8,1,27.052,0.0819999999999999,13.2,-0.075,0.03,0,25.05,0.02,54.1,0.0069999999999999,0.043,0,161.7778075724382,11.813684168421979
915.2881948972404,1116.945728995203,58.7,1,25.867,0.032,33.7,-0.06,0.072,0,25.247,0.023,47.9,-0.035,0.0579999999999999,0,161.79084253012408,11.833649834080614
2315.2186517377204,1415.3164348212122,56.4,1,26.707,0.061,17.7,0.034,0.011,0,25.093000000000004,0.02,53.4,-0.0139999999999999,0.0289999999999999,0,161.77879063151943,11.817551012721793
3806.42051359062,0.1949991207164521,25.2,1,28.889,0.5479999999999999,2.0,-0.3429999999999999,0.034,0,26.835,0.099,10.9,0.382,0.301,0,161.789235831353,11.791351393312384
1440.2046821509123,1772.7251503311384,45.1,1,28.167,0.207,5.3,0.162,0.037,0,25.161,0.027,40.9,0.011,0.005,0,161.77911045756252,11.830213548024075
1169.7851403035645,1177.8188204790895,38.0,1,26.21,0.052,20.9,0.282,0.01,0,26.428,0.06,18.0,-0.057,0.019,0,161.78857330549016,11.830787040835762
2632.6721703663684,1852.3277494865208,52.1,1,25.991,0.038,28.7,-0.119,0.32,0,25.315,0.025,43.3,-0.136,0.435,0,161.7711222671177,11.815613226338003
2282.7026024713246,73.86259558328325,50.9,1,26.594,0.0559999999999999,19.3,-0.125,0.124,0,25.257,0.023,47.0,-0.026,0.153,0,161.79703934283722,11.811435011196913
728.4454827630522,340.612112466364,53.0,1,25.85,0.032,33.8,-0.107,0.152,0,25.47,0.027,40.8,-0.111,0.171,0,161.80228981385017,11.832284151640572
446.55947415571865,732.7060886622285,51.1,1,26.277,0.046,23.8,-0.14,0.356,0,25.261,0.024,45.1,-0.119,0.405,0,161.7986346159552,11.83760820928261
3093.982134775904,554.2957853907033,52.6,1,26.336,0.046,23.7,-0.016,0.012,0,25.263,0.023,46.8,0.018,0.0289999999999999,0,161.78584490801063,11.80339327154309
1263.6522952216346,720.2342324206121,26.7,1,29.188,0.508,2.1,-0.009,0.115,0,27.155,0.104,10.4,0.171,0.027,0,161.79415417236575,11.827450458076122
