X,Y,RA,DEC,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2
1873.52,1150.04,53.48409244471653,-36.209661268062874,3876.3,1,20.547,0.001,1600.6,0.001,0.001,0,18.321,0.0,3261.1,-0.195,0.004,0
629.48,312.52,53.50889673449129,-36.203892795424935,3112.9,1,20.902,0.001,1357.4,-0.008,0.005,0,18.968,0.0,2801.0,0.0139999999999999,0.013,0
4043.54,2723.99,53.4393261715591,-36.218701883683096,2897.4,1,20.66,0.001,1515.4,0.011,0.0,0,19.24,0.0,2469.4,0.012,0.0,0
3946.7,2423.65,53.444358499100595,-36.220353221503544,2071.3,1,20.798,0.001,1421.7,0.013,0.0,0,20.297,0.001,1506.2,0.0279999999999999,0.0,0
153.0,2331.62,53.48753491553933,-36.18080608523041,1740.7,1,21.976,0.001,803.9,0.01,0.001,0,20.211,0.001,1543.8,0.0139999999999999,0.003,0
2921.12,3998.25,53.43494659075435,-36.19538332436168,1678.7,1,22.195,0.001,733.5,0.024,0.0,0,20.298,0.001,1509.9,0.006,0.001,0
3895.86,3879.35,53.42572742410747,-36.206814043310274,1664.4,1,21.589,0.001,977.7,0.013,0.0,0,20.529,0.001,1346.8,0.015,0.0,0
451.8,2604.5,53.48063336435768,-36.18155094919154,1532.2,1,21.818,0.001,873.1,0.032,0.002,0,20.655,0.001,1259.0,0.0279999999999999,0.005,0
683.96,3614.48,53.464751193267745,-36.17500728536352,1175.7,1,23.354,0.003,405.5,0.015,0.0,0,20.906,0.001,1103.4,-0.003,0.002,0
3617.57,679.56,53.471005132971264,-36.23242033260946,1178.7,1,22.756,0.002,554.1,0.018,0.004,0,21.06,0.001,1040.0,0.022,0.0069999999999999,0
318.94,2549.46,53.4828280106849,-36.180628184496626,982.3,1,22.301,0.002,654.7,-0.094,0.126,0,21.621,0.001,731.8,-0.0969999999999999,0.144,0
410.89,45.93,53.51483028863318,-36.20394407319975,229.6,1,28.033,0.08,13.6,0.8190000000000001,0.011,0,28.244,0.148,7.3,-0.8759999999999999,0.052,0
1780.95,551.34,53.493013715933635,-36.214018481274394,862.0,1,25.485,0.009,127.7,0.003,0.01,0,21.501,0.001,852.4,-0.001,0.019,0
2582.78,1706.6,53.468906403545155,-36.21224201653186,791.0,1,22.848000000000003,0.002,520.7,-0.1169999999999999,0.049,0,22.174,0.002,594.6,-0.13,0.068,0
1093.38,3192.02,53.46579295756429,-36.18313473634309,619.4,1,23.678,0.003,346.8,0.0069999999999999,0.005,0,22.495,0.002,512.7,0.01,0.005,0
3790.23,4260.4,53.421873321256875,-36.202287482043644,100.7,1,27.628,0.057,19.1,0.602,0.004,0,28.115,0.134,8.1,-0.525,0.057,0
3151.05,2237.89,53.45561261624199,-36.213546312909266,128.1,1,29.671,0.319,3.4,-1.013,0.046,0,28.087,0.134,8.1,0.804,0.031,0
4027.95,3587.34,53.42811520917026,-36.2108268279131,510.1,1,24.306,0.004,246.8,0.009,0.001,0,22.744,0.002,446.3,0.0139999999999999,0.001,0
1431.46,4161.79,53.4492702160277,-36.17807502431065,90.1,1,28.779,0.148,7.3,-0.255,0.088,0,27.165,0.0579999999999999,18.7,0.207,0.025,0
2147.29,2214.41,53.46702676866864,-36.203075368051294,126.7,1,29.22,0.225,4.8,-0.12,0.018,0,28.309,0.163,6.6,0.059,0.1119999999999999,0
