X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2,RA,DEC
810.4384914821629,3507.900723618364,2210.7,1,19.502,0.001,1254.0,-0.087,0.019,0,18.992,0.001,1814.6,-0.0139999999999999,0.019,0,188.52308951604286,7.730209392935045
674.7366537284073,1951.2140716738613,2128.7,1,20.702,0.002,716.0,-0.021,0.03,0,18.727,0.001,1800.4,-0.022,0.035,0,188.50203777429536,7.736197143121462
3157.973868160195,755.5260125781297,1429.9,1,20.488000000000003,0.001,808.8,-0.036,0.023,0,19.935,0.001,1178.6,0.015,0.034,0,188.49886225291428,7.774346897013926
2812.1235350961797,1069.70078255758,1109.0,1,21.247,0.002,562.8,-0.043,0.019,0,20.388,0.001,954.7,0.002,0.0279999999999999,0,188.50123678279073,7.768298876766937
3384.047805536883,1676.107897531778,1082.4,1,21.786,0.002,440.6,-0.059,0.0,0,20.356,0.001,988.6,-0.036,0.0,0,188.51204536561724,7.772696959364917
3057.944000374492,2662.165211974865,986.6,1,21.236,0.002,527.1,-0.11,0.152,0,20.528,0.001,831.4,-0.12,0.172,0,188.5233114882177,7.7635609448703535
712.7195338942831,3679.4830404080744,317.2,1,26.354,0.036,29.9,0.97,0.0,0,28.233,0.21,5.2,-1.004,0.005,0,188.5248439066088,7.728088331383054
3918.0897167458434,559.43528966527,791.7,1,22.411,0.003,319.0,-0.027,0.0289999999999999,0,20.962,0.001,724.3,0.011,0.04,0,188.50011376589006,7.7851789532759215
3689.9454512647653,2835.677098137551,731.6,1,22.029,0.003,383.5,-0.021,0.01,0,21.28,0.002,621.9,-0.001,0.012,0,188.52875689267682,7.770892142065444
251.14068656840544,748.7779213440848,526.5,1,22.881,0.004,252.1,-0.062,0.0279999999999999,0,21.85,0.002,461.9,0.0139999999999999,0.035,0,188.48417550876377,7.736688039614525
3869.740984500815,1186.9424537729735,182.2,1,29.156,0.347,3.1,-0.638,0.087,0,27.311,0.085,12.7,0.496,0.003,0,188.50808326727326,7.781429206731815
434.14769870529653,3097.8402937526816,504.5,1,23.64,0.0069999999999999,163.8,-0.057,0.002,0,21.762,0.002,476.5,-0.037,0.002,0,188.5158337408738,7.727371095112891
2809.9374266091045,813.4081028559517,517.0,1,22.921,0.004,246.8,-0.02,0.018,0,21.904,0.002,454.2,-0.006,0.025,0,188.4978717352803,7.769545949239747
1284.5693033238072,3174.5222441122314,509.5,1,23.818,0.0069999999999999,151.7,-0.051,0.02,0,21.754,0.002,485.7,-0.021,0.022,0,188.5211085493623,7.738016460376686
1520.2030239083506,2455.783480716391,175.1,1,25.624,0.027,39.5,0.354,0.002,0,27.911,0.173,6.3,-0.299,0.0559999999999999,0,188.5128868003445,7.744648941539671
3074.0017052756702,2175.9365642597595,105.8,1,25.912,0.032,33.8,0.432,0.005,0,27.712,0.1939999999999999,5.6,-0.6459999999999999,0.1119999999999999,0,188.5170291186151,7.766189140244156
197.96688569031076,3358.805807566154,438.5,1,22.972,0.005,231.5,-0.0279999999999999,0.064,0,22.248,0.003,371.5,-0.009,0.04,0,188.51806232723828,7.723009835814599
281.78615426644745,3851.1662779497474,428.6,1,23.011,0.005,227.0,-0.075,0.012,0,22.278,0.003,362.9,-0.05,0.005,0,188.52492593506446,7.721646157174348
2927.402818160099,3447.9670532196906,141.9,1,29.154,0.376,2.9,-0.319,0.1369999999999999,0,27.253,0.0819999999999999,13.3,0.4429999999999999,0.011,0,188.53293895795412,7.757957130367162
3880.6019380075277,919.4517622016998,162.6,1,26.802,0.048,22.5,0.653,0.0,0,27.98,0.152,7.1,-0.617,0.01,0,188.5046371172174,7.782901237624099
313.0322710368098,3563.7890413342825,394.1,1,24.077,0.008,130.5,-0.0819999999999999,0.001,0,22.247,0.003,371.3,-0.038,0.003,0,188.52132250187924,7.723481624086779
2223.3188171278007,3348.142459032265,126.1,1,29.518,0.483,2.2,-0.823,0.079,0,27.957,0.157,6.9,0.792,0.418,0,188.52809583353883,7.749324571270251
