X,Y,SNR,stype,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2, inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,RA,DEC
1271.9134942406636,2019.2697914249313,468.8,1,19.082,0.002,468.8,-0.24,0.675,2,19.92,0.002,541.2,-0.151,0.605,0,0.8035907158254122,16.076370848097792
1256.41416817754,2020.618264355028,460.9,1,19.343,0.002,460.9,-0.302,0.951,2,20.402,0.002,634.6,-0.088,0.833,2,0.8033861308647892,16.076443518325576
1402.7883011264648,1150.281874120408,534.9,1,19.392,0.002,534.9,-0.254,0.698,2,20.47,0.002,601.5,-0.386,0.598,2,0.8096216974696125,16.086848336741273
1270.9927674129976,2016.9096130363798,461.9,1,19.444,0.002,461.9,-0.176,0.835,2,20.369,0.002,555.0,-0.08,0.832,2,0.8035905890401481,16.076406512922407
1794.114497068971,1476.4933727685031,1218.3,1,19.048,0.001,1218.3,0.008,0.018,0,20.747,0.001,847.6,0.005,0.013,0,0.8130315057930526,16.080347282939663
1259.5365816970775,2028.458863446051,668.0,1,19.345,0.002,668.0,-0.46,0.523,2,20.576,0.002,578.9,-0.282,0.943,0,0.8033873713826816,16.07632468549969
1257.703390036158,2018.208308820956,642.2,1,19.324,0.002,642.2,-0.002,0.827,2,20.604,0.002,527.9,0.019,0.999,2,0.8034144677969379,16.076466988784617
1112.8525691886662,1212.6146414252046,880.5,1,19.744,0.001,880.5,0.027,0.007,0,20.261,0.001,1039.0,0.029,0.006,2,0.8055760401655124,16.087707880151367
1400.2971627718343,1146.5314861512345,506.5,1,19.769,0.002,506.5,-0.256,0.932,2,20.401,0.002,663.3,-0.296,0.758,2,0.809608581568565,16.086911482067435
1385.5675194749324,1146.9100024717295,538.6,1,19.792,0.002,538.6,-0.378,0.883,0,20.721,0.002,494.3,-0.353,0.942,0,0.8094165408881787,16.08699145450413
